"bbid","naam","uri","straatnaam","straat_uri","breen","kleinnr","nr1876","tekst"
"BB1","Aagte(n)gang",,"Goudsbloemgracht","https://adamlink.nl/geo/street/willemsstraat/5074","nee",,,"Aagte(n)gang – Goudsbloemgracht Kw.; TA zie Bakkersgang (104/105)"
"BB2",,,,,,,,"Aakstergang of –steegje – Binnen Vissersstraat (zie ook: Ekstergang/-steeg(je) Kw.: 1 (1729-01-26); TA: 2 (1676-07-30, 1756-04-09)"
"BB3","Aal Jansengang",,"Herengracht","https://adamlink.nl/geo/street/herengracht/1768","nee",,,"Aal Jansengang – Herengracht Oz tussen Roomolensteeg en Brouwersgracht TA (K): “een huijs en(de) erve, Staende en(de) leggende opde oude Zyds Heeregraft aen d’oostzyde tusschen de Molen steeg en de brouwers graft opde noorder hoeck van Ael Jansen gang … en de gemelde Ael Jansen gangh. Aende Zuydzijde … 1680-09-10”"
"BB4","Aalsmeerdergang",,"Goudsbloemgracht","https://adamlink.nl/geo/street/willemsstraat/5074","ja","78/79","-","Aalsmeerdergang  B: Goudsbloemgracht 78/79   -   vervallen.; BWK; Kw.: 2 (1739, 1798); BS : G 1, O 1, Ov 5 (1811-1822)"
"BB5","Aalsmeerdergang",,"Haarlemmer Houttuinen","https://adamlink.nl/geo/street/haarlemmer-houttuinen/1625","nee",,,"Aalsmeerdergang – Haarlemmer Houttuinen Kw. Zie: Pauwengang"
"BB6","Aalsmeerdergang","https://adamlink.nl/geo/street/aalsmeerdergang/6709","Lindengracht","https://adamlink.nl/geo/street/lindengracht/2707","ja","94","286-290","Aalsmeerdergang B: Lindengracht 94   286-290; BWK; Kw.: 1 (1757); TA: 1 (1810); K1805; BS : G 1, O 4/(5), Ov 1/(2) (1816-1852); RN53; BR; RN75; L; H; Tram25; AS30; SvA; AAA38/39"
"BB7","Aansprekersgang",,"Lauriergracht","https://adamlink.nl/geo/street/lauriergracht/2630","ja","52/53","-","Aansprekersgang B: Lauriergracht 52/53   -   vervallen.; TA: 2 (1772, 1781); MNM: 1 (1781); (K1805); BS: G 13, O 17, Ov 2 (1811-1844)"
"BB8","Aansprekersgang",,"Palmstraat","https://adamlink.nl/geo/street/palmstraat/3453","ja","103","-","Aansprekersgang B: Palmstraat 103   -   vervallen. Op de kaart van wijk 51 (uit 1775) heet deze gang: Strijkijzersgang.; BWK"
"BB9","Gemene Gang",,"De Aap",,"nee",,,"De Aap – Oude Looiersstraat Nz – Gemene Gang WV80: 1 (1729/1730)"
"BB10","Aapjesgang",,"Oude Looiersstraat","https://adamlink.nl/geo/street/oude-looiersstraat/3387","nee",,,"Aapjesgang – Oude Looiersstraat BWK zie: Apengang"
